word,mfa_start_time,mfa_end_time,gentle_start_time,gentle_end_time
any,243.21,243.48,,
man,243.48,243.85,,
to,243.88,243.94,,
go,243.94,244.18,,
there,244.18,244.5,,
But,245.35,245.47,,
there,245.47,245.61,,
were,245.61,245.73,,
tales,245.73,246.27,,
of,246.27,246.4,,
long,246.4,246.71,,
ago,246.71,247.26,,
when,247.72,247.89,,
some,247.89,248.21,,
brave,248.21,248.58,,
investigator,248.58,249.29,,
had,249.29,249.46,,
seen,249.46,249.72,,
it,249.72,249.91,,
a,250.34,250.4,,
Big,250.4,250.72,,
Country,250.72,251.26,,
Big,251.73,251.93,,
Houses,251.93,252.54,,
Plenty,252.97,253.3,,
People,253.3,253.73,,
All,254.3,254.72,,
Women,254.72,255.18,,
Had,256.96,257.15,,
no,257.15,257.36,,
one,257.36,257.54,,
else,257.54,257.78,,
gone,257.78,258.18,,
Yes,258.78,259.19,,
a,259.19,259.24,,
good,259.24,259.45,,
many,259.45,259.9,,
but,260.38,260.5,,
they,260.5,260.63,,
never,260.63,260.98,,
came,260.98,261.39,,
back,261.39,261.84,,
It,262.46,262.6,,
was,262.6,262.78,,
no,262.78,263.17,,
place,263.17,263.57,,
for,263.57,263.71,,
men,263.71,264.12,,
of,264.62,264.79,,
that,264.79,264.97,,
they,264.97,265.08,,
seemed,265.08,265.39,,
sure,265.39,265.81,,
I,267.0,267.2,,
told,267.2,267.41,,
the,267.41,267.47,,
boys,267.47,267.79,,
about,267.79,268.01,,
these,268.01,268.19,,
stories,268.19,268.59,,
and,268.59,268.68,,
they,268.68,268.8,,
laughed,268.8,269.18,,
at,269.18,269.27,,
them,269.27,269.52,,
Naturally,270.11,270.51,,
I,270.51,270.58,,
did,270.58,270.76,,
myself,270.76,271.3,,
I,271.83,271.96,,
knew,271.96,272.09,,
the,272.09,272.17,,
stuff,272.17,272.5,,
that,272.5,272.57,,
savage,272.57,272.98,,
dreams,272.98,273.32,,
are,273.32,273.36,,
made,273.36,273.6,,
of,273.6,273.83,,
But,274.88,275.06,,
when,275.06,275.33,,
we,275.33,275.43,,
had,275.43,275.67,,
reached,275.67,275.92,,
our,275.92,276.01,,
farthest,276.01,276.52,,
point,276.52,276.95,,
just,277.32,277.55,,
the,277.55,277.62,,
day,277.62,277.74,,
before,277.74,278.0,,
we,278.0,278.14,,
all,278.14,278.27,,
had,278.27,278.52,,
to,278.52,278.55,,
turn,278.55,278.76,,
around,278.76,279.08,,
and,279.08,279.16,,
start,279.16,279.44,,
for,279.44,279.55,,
home,279.55,279.79,,
again,279.79,280.21,,
as,280.54,280.7,,
the,280.7,280.77,,
best,280.77,281.09,,
of,281.09,281.18,,
expeditions,281.18,281.83,,
must,281.83,282.13,,
in,282.13,282.26,,
time,282.26,282.69,,
we,283.22,283.44,,
three,283.44,283.76,,
made,283.76,284.05,,
a,284.05,284.1,,
discovery,284.1,284.8,,
The,286.04,286.11,,
main,286.11,286.33,,
encampment,286.33,286.88,,
was,286.88,287.03,,
on,287.03,287.12,,
a,287.12,287.15,,
spit,287.15,287.44,,
of,287.44,287.55,,
land,287.55,287.84,,
running,287.84,288.15,,
out,288.15,288.29,,
into,288.29,288.47,,
the,288.47,288.54,,
main,288.54,288.79,,
stream,288.79,289.28,,
or,289.61,289.75,,
what,289.75,289.94,,
we,289.94,290.05,,
thought,290.05,290.55,,
was,290.83,291.05,,
the,291.05,291.13,,
main,291.13,291.43,,
stream,291.43,292.03,,
It,292.69,292.82,,
had,292.82,293.0,,
the,293.0,293.06,,
same,293.06,293.41,,
muddy,293.41,293.62,,
color,293.62,293.93,,
we,293.93,294.04,,
had,294.04,294.13,,
been,294.13,294.26,,
seeing,294.26,294.59,,
for,294.59,294.78,,
weeks,295.11,295.5,,
past,295.95,296.11,,
the,296.11,296.18,,
same,296.18,296.29,,
taste,296.29,296.85,,
I,297.67,297.75,,
happened,297.75,298.09,,
to,298.09,298.12,,
speak,298.12,298.4,,
of,298.4,298.49,,
that,298.49,298.65,,
river,298.65,298.86,,
to,298.86,299.07,,
our,299.07,299.11,,
last,299.11,299.48,,
guide,299.48,299.81,,
a,299.81,299.88,,
rather,299.88,300.11,,
superior,300.11,300.64,,
fellow,300.64,300.96,,
with,300.96,301.13,,
quick,301.13,301.35,,
bright,301.35,301.76,,
eyes,301.76,302.19,,
He,302.9,303.11,,
told,303.11,303.48,,
me,303.48,303.71,,
that,303.71,303.83,,
there,303.83,303.98,,
was,303.98,304.19,,
another,304.19,304.46,,
river,304.46,304.9,,
over,305.23,305.49,,
there,305.49,305.91,,
short,306.12,306.57,,
river,306.57,306.92,,
sweet,307.11,307.59,,
water,307.59,308.07,,
red,308.43,308.75,,
and,308.75,309.0,,
blue,309.0,309.48,,
I,310.81,310.97,,
was,310.97,311.15,,
interested,311.15,311.61,,
in,311.61,311.73,,
this,311.73,312.02,,
and,312.02,312.1,,
anxious,312.1,312.62,,
to,312.62,312.65,,
see,312.65,312.85,,
if,312.85,312.99,,
I,312.99,313.07,,
had,313.07,313.17,,
understood,313.17,313.98,,
so,314.85,315.01,,
I,315.01,315.1,,
showed,315.1,315.36,,
him,315.36,315.55,,
a,315.55,315.58,,
red,315.58,315.84,,
and,315.84,315.95,,
blue,315.95,316.11,,
pencil,316.11,316.5,,
I,316.5,316.61,,
carried,316.61,316.96,,
and,316.96,317.06,,
asked,317.06,317.37,,
again,317.37,317.81,,
Yes,318.25,318.85,,
he,318.89,319.04,,
pointed,319.04,319.42,,
to,319.42,319.45,,
the,319.45,319.54,,
river,319.54,319.9,,
and,320.32,320.47,,
then,320.47,320.62,,
to,320.66,320.7,,
the,320.7,320.79,,
southwestward,320.79,321.6,,
River,321.93,322.49,,
good,322.63,322.79,,
water,322.79,323.1,,
red,323.1,323.42,,
and,323.42,323.72,,
blue,323.72,324.11,,
Terry,325.91,326.16,,
was,326.16,326.32,,
close,326.32,326.58,,
by,326.58,327.01,,
and,327.04,327.16,,
interested,327.16,327.67,,
in,327.67,327.76,,
the,327.76,327.82,,
fellow,327.82,328.09,,
’s,328.09,328.2,,
pointing,328.2,328.68,,
What,329.46,329.56,,
does,329.56,329.64,,
he,329.64,329.73,,
say,329.73,329.97,,
Van,329.97,330.37,,
I,331.07,331.14,,
told,331.14,331.41,,
him,331.41,331.75,,
Terry,332.39,332.66,,
blazed,332.66,333.07,,
up,333.07,333.21,,
at,333.21,333.29,,
once,333.29,333.6,,
Ask,333.67,333.91,,
him,333.91,334.02,,
how,334.02,334.1,,
far,334.1,334.37,,
it,334.37,334.51,,
is,334.51,334.78,,
The,335.66,335.72,,
man,335.72,335.95,,
indicated,335.95,336.53,,
a,336.53,336.56,,
short,336.56,336.94,,
journey,336.94,337.44,,
I,337.57,337.68,,
judged,337.68,338.06,,
about,338.06,338.55,,
two,338.55,338.82,,
hours,338.82,339.38,,
maybe,340.08,340.38,,
three,340.38,340.81,,
Let,341.96,342.09,,
’s,342.09,342.19,,
go,342.19,342.51,,
urged,342.51,342.74,,
Terry,342.74,343.02,,
Just,343.02,343.33,,
us,343.33,343.49,,
three,343.49,343.83,,
Maybe,343.83,344.06,,
we,344.06,344.16,,
can,344.16,344.29,,
really,344.29,344.52,,
find,344.52,344.96,,
something,344.96,345.4,,
May,345.43,345.55,,
be,345.55,345.63,,
cinnabar,345.63,346.24,,
in,346.24,346.3,,
it,346.3,346.47,,
May,347.24,347.4,,
be,347.4,347.54,,
indigo,347.54,348.11,,
Jeff,348.42,348.63,,
suggested,348.63,349.21,,
with,349.21,349.37,,
his,349.37,349.53,,
lazy,349.53,349.9,,
smile,349.9,350.48,,
It,351.35,351.47,,
was,351.47,351.63,,
early,351.63,351.98,,
yet,351.98,352.33,,
we,352.33,352.47,,
had,352.47,352.56,,
just,352.56,352.94,,
breakfasted,352.94,353.61,,
and,353.97,354.13,,
leaving,354.13,354.45,,
word,354.45,354.85,,
that,354.85,354.94,,
we,354.94,355.04,,
’d,355.04,355.1,,
be,355.1,355.22,,
back,355.22,355.5,,
before,355.5,355.78,,
night,355.78,356.09,,
we,356.09,356.23,,
got,356.23,356.42,,
away,356.42,356.67,,
quietly,356.7,357.35,,
not,357.68,357.86,,
wishing,357.86,358.18,,
to,358.18,358.21,,
be,358.21,358.3,,
thought,358.3,358.6,,
too,358.6,358.84,,
gullible,358.84,359.26,,
if,359.26,359.35,,
we,359.35,359.45,,
failed,359.45,359.93,,
and,360.26,360.35,,
secretly,360.35,360.77,,
hoping,360.77,361.18,,
to,361.18,361.21,,
have,361.21,361.4,,
some,361.4,361.63,,
nice,361.63,361.89,,
little,361.89,362.06,,
discovery,362.06,362.63,,
all,362.63,362.82,,
to,362.88,362.95,,
ourselves,362.95,363.61,,
It,364.63,364.89,,
was,364.89,365.24,,
a,365.24,365.28,,
long,365.28,365.96,,
two,365.96,366.31,,
hours,366.31,366.8,,
nearer,366.8,367.14,,
three,367.14,367.68,,
I,368.2,368.3,,
fancy,368.3,368.65,,
the,368.65,368.71,,
savage,368.71,369.13,,
could,369.13,369.26,,
have,369.26,369.32,,
done,369.32,369.5,,
it,369.5,369.59,,
alone,369.59,369.88,,
much,369.88,370.1,,
quicker,370.1,370.44,,
There,371.39,371.55,,
was,371.55,371.72,,
a,371.72,371.77,,
desperate,371.77,372.22,,
tangle,372.22,372.57,,
of,372.57,372.66,,
wood,372.66,372.95,,
and,372.95,373.1,,
water,373.1,373.46,,
and,373.46,373.57,,
a,373.57,373.61,,
swampy,373.61,374.1,,
patch,374.1,374.42,,
we,374.42,374.56,,
never,374.56,374.92,,
should,374.92,375.15,,
have,375.15,375.22,,
found,375.22,375.49,,
our,375.49,375.56,,
way,375.56,375.78,,
across,375.78,376.16,,
alone,376.16,376.62,,
But,377.15,377.28,,
there,377.28,377.38,,
was,377.38,377.55,,
one,377.55,377.93,,
and,378.12,378.24,,
I,378.24,378.34,,
could,378.34,378.49,,
see,378.49,378.63,,
Terry,378.63,378.96,,
with,378.96,379.12,,
compass,379.12,379.47,,
and,379.47,379.57,,
notebook,379.57,380.0,,
marking,380.61,380.97,,
directions,380.97,381.63,,
and,381.84,381.94,,
trying,381.94,382.34,,
to,382.34,382.37,,
place,382.37,382.69,,
landmarks,382.69,383.32,,
We,385.26,385.36,,
came,385.36,385.62,,
after,385.62,385.9,,
a,385.9,385.96,,
while,385.96,386.37,,
to,386.42,386.5,,
